Nivå	Typeinndeling	HTG	HT	GT_nr	Basic type	S_kode	Name	Name_EN	Kortnavn	Beskrivelse	KLG_RE-IA	KLG_RE-ID-KF	KLG_RE-KS	KLG_KA	KLG_IYK	KLG_IP	KLG_BP	KLG_VP	KLG_VE	KLG_AI	KLG_AI-KS	KLG_JP	Pred_Lnr	Naturlandskap	rekkefølge_kjeding_klg					
LA	TI	I	I-A	18	I-A-18	LA-TI-I-A-18	Slakt til småkupert ås- og fjellandskap under skoggrensen med tett bebyggelse	Undulating hills with village	Slakt til småkupert åslandskap med tett bebyggelse		KLG_RE-IA-2						KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-1	18	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	19	I-A-19	LA-TI-I-A-19	Slakt til småkupert ås- og fjellandskap under skoggrensen med tett bebyggelse  og jordbruksdominans	Undulating hills with village and agriculture	Slakt til småkupert åslandskap med tett bebyggelse  og jordbruksdominans		KLG_RE-IA-2						KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-2	19	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	20	I-A-20	LA-TI-I-A-20	Slakt til småkupert ås- og fjellandskap under skoggrensen med by	Undulating hills with city	Slakt til småkupert åslandskap med by		KLG_RE-IA-2						KLG_BP-1		KLG_VE-1	KLG_AI-4		KLG_JP-1	20	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	21	I-A-21	LA-TI-I-A-21	Slakt til småkupert ås- og fjellandskap med hei under skoggrensen	Undulating low mountains	Slakt til småkupert åslandskap med hei		KLG_RE-IA-2						KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-1	21	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	22	I-A-22	LA-TI-I-A-22	Slakt til småkupert ås- og fjellandskap med hei under skoggrensen med bebygde områder	Undulating low mountains with settlements	Slakt til småkupert åslandskap med hei og bebyggelse		KLG_RE-IA-2						KLG_BP-1		KLG_VE-2	KLG_AI-2		KLG_JP-1	22	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	23	I-A-23	LA-TI-I-A-23	Slakt til småkupert ås- og fjellandskap med hei over skoggrensen	Undulating mountains	Slakt til småkupert fjellandskap med hei		KLG_RE-IA-2						KLG_BP-1		KLG_VE-3	KLG_AI-1		KLG_JP-1	23	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	24	I-A-24	LA-TI-I-A-24	Slakt til småkupert ås- og fjellandskap med hei over skoggrensen med bebygde områder	Undulating mountains with settlements	Slakt til småkupert fjellandskap med hei og bebyggelse		KLG_RE-IA-2						KLG_BP-1		KLG_VE-3	KLG_AI-2		KLG_JP-1	24	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	25	I-A-25	LA-TI-I-A-25	Slakt til småkupert ås- og fjellandskap med bart fjell over skoggrensen	Undulating barren mountains	Slakt til småkupert bart fjellandskap		KLG_RE-IA-2						KLG_BP-1		KLG_VE-4	KLG_AI-1		KLG_JP-1	25	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	26	I-A-26	LA-TI-I-A-26	Slakt til småkupert ås- og fjellandskap dominert av isbre med bart fjell over skoggrensen	Undulating barren mountains with glacier	Slakt til småkupert bart fjellandskap dominert av isbre		KLG_RE-IA-2						KLG_BP-2		KLG_VE-4	KLG_AI-1		KLG_JP-1	26	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	27	I-A-27	LA-TI-I-A-27	Middels kupert ås- og fjellandskap under skoggrensen	Medium steep hills	Middels kupert åslandskap		KLG_RE-IA-3						KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	27	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	28	I-A-28	LA-TI-I-A-28	Middels kupert ås- og fjellandskap under skoggrensen med jordbruksdominans	Medium steep hills with agriculture	Middels kupert åslandskap med jordbruksdominans		KLG_RE-IA-3						KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-2	28	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	29	I-A-29	LA-TI-I-A-29	Middels kupert ås- og fjellandskap under skoggrensen med bebygde områder	Medium steep hills with settlements	Middels kupert åslandskap med bebyggelse		KLG_RE-IA-3						KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-1	29	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	30	I-A-30	LA-TI-I-A-30	Middels kupert ås- og fjellandskap under skoggrensen med bebygde områder og jordbruksdominans	Medium steep hills with settlements and agriculture	Middels kupert åslandskap med bebyggelse og jordbruksdominans		KLG_RE-IA-3						KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-2	30	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
